VIRAT_S_010200_00_000060_000218
Event ID, Event Type, Event Duration, Event Start, Event End
14, 9: Person carrying an object, 0:00:08.575242, 0:00:17.417417, 0:00:25.959293
15, 9: Person carrying an object, 0:00:04.037371, 0:00:19.686353, 0:00:23.690357
16, 11: Person entering a facility, 0:00:04.337671, 0:00:11.745078, 0:00:16.049383

VIRAT_S_010200_06_000702_000744
Event ID, Event Type, Event Duration, Event Start, Event End
7, 9: Person carrying an object, 0:00:23.857191, 0:00:03.970637, 0:00:27.794461
8, 9: Person carrying an object, 0:00:15.782449, 0:00:05.905906, 0:00:21.654988
9, 7: Person gesturing, 0:00:01.868535, 0:00:22.889556, 0:00:24.724725
10, 9: Person carrying an object, 0:00:10.977644, 0:00:16.850184, 0:00:27.794461

VIRAT_S_010200_07_000748_000837
Event ID, Event Type, Event Duration, Event Start, Event End
48, 11: Person entering a facility, 0:00:03.603604, 0:00:05.405405, 0:00:08.975642
49, 11: Person entering a facility, 0:00:03.036370, 0:00:18.485152, 0:00:21.488155
50, 9: Person carrying an object, 0:00:15.315315, 0:00:09.743076, 0:00:25.025025
51, 9: Person carrying an object, 0:00:14.814815, 0:00:09.743076, 0:00:24.524525
52, 11: Person entering a facility, 0:00:02.569236, 0:00:36.202870, 0:00:38.738739
53, 9: Person carrying an object, 0:00:13.113113, 0:00:37.671004, 0:00:50.750751
54, 9: Person carrying an object, 0:00:27.627628, 0:00:22.956290, 0:00:50.550551
55, 9: Person carrying an object, 0:00:11.511512, 0:00:48.581915, 0:01:00.060060
56, 9: Person carrying an object, 0:00:15.081748, 0:00:53.753754, 0:01:08.802135

VIRAT_S_010200_08_000838_000867
Event ID, Event Type, Event Duration, Event Start, Event End
1, 9: Person carrying an object, 0:00:11.144478, 0:00:06.606607, 0:00:17.717718

VIRAT_S_010200_09_000886_000915
Event ID, Event Type, Event Duration, Event Start, Event End
3, 12: Person exiting a facility, 0:00:03.303303, 0:00:09.342676, 0:00:12.612613

VIRAT_S_010200_10_000923_000959
Event ID, Event Type, Event Duration, Event Start, Event End
2, 11: Person entering a facility, 0:00:10.643977, 0:00:05.138472, 0:00:15.749082
3, 9: Person carrying an object, 0:00:24.024024, 0:00:00.600601, 0:00:24.591258
4, 9: Person carrying an object, 0:00:10.710711, 0:00:01.434768, 0:00:12.112112
5, 9: Person carrying an object, 0:00:19.119119, 0:00:05.505506, 0:00:24.591258

VIRAT_S_010201_00_000000_000053
Event ID, Event Type, Event Duration, Event Start, Event End
8, 9: Person carrying an object, 0:00:11.311311, 0:00:00, 0:00:11.277945
9, 11: Person entering a facility, 0:00:04.137471, 0:00:18.184852, 0:00:22.288956
10, 9: Person carrying an object, 0:00:04.104104, 0:00:38.304972, 0:00:42.375709
11, 9: Person carrying an object, 0:00:01.634968, 0:00:40.774107, 0:00:42.375709

VIRAT_S_010201_01_000125_000152
Event ID, Event Type, Event Duration, Event Start, Event End
9, 9: Person carrying an object, 0:00:04.738071, 0:00:00, 0:00:04.704705
10, 11: Person entering a facility, 0:00:03.870537, 0:00:15.215215, 0:00:19.052386
11, 9: Person carrying an object, 0:00:13.480147, 0:00:08.008008, 0:00:21.454788
12, 9: Person carrying an object, 0:00:12.579246, 0:00:08.174842, 0:00:20.720721

VIRAT_S_010201_02_000167_000197
Event ID, Event Type, Event Duration, Event Start, Event End
6, 11: Person entering a facility, 0:00:05.271939, 0:00:05.705706, 0:00:10.944278
7, 11: Person entering a facility, 0:00:05.271939, 0:00:05.705706, 0:00:10.944278

VIRAT_S_010201_03_000270_000359
Event ID, Event Type, Event Duration, Event Start, Event End
35, 9: Person carrying an object, 0:00:37.771104, 0:00:03.003003, 0:00:40.740741
36, 9: Person carrying an object, 0:00:36.102769, 0:00:04.671338, 0:00:40.740741
37, 9: Person carrying an object, 0:00:29.496163, 0:00:11.277945, 0:00:40.740741
38, 9: Person carrying an object, 0:00:41.474808, 0:00:28.795462, 0:01:10.236904
39, 11: Person entering a facility, 0:00:02.769436, 0:00:38.405072, 0:00:41.141141

VIRAT_S_010201_04_000374_000469
Event ID, Event Type, Event Duration, Event Start, Event End
32, 9: Person carrying an object, 0:00:20.754087, 0:00:00, 0:00:20.720721
33, 9: Person carrying an object, 0:00:06.439773, 0:00:00, 0:00:06.406406
34, 9: Person carrying an object, 0:00:07.073740, 0:00:00, 0:00:07.040374
35, 9: Person carrying an object, 0:00:10.176844, 0:00:00, 0:00:10.143477
36, 9: Person carrying an object, 0:00:09.242576, 0:00:00, 0:00:09.209209
37, 9: Person carrying an object, 0:00:12.012012, 0:00:20.020020, 0:00:31.998665
38, 9: Person carrying an object, 0:00:31.531532, 0:00:00, 0:00:31.498165
39, 12: Person exiting a facility, 0:00:03.303303, 0:00:43.076410, 0:00:46.346346
40, 12: Person exiting a facility, 0:00:02.702703, 0:00:44.678011, 0:00:47.347347
41, 12: Person exiting a facility, 0:00:03.937271, 0:00:46.880214, 0:00:50.784117
42, 9: Person carrying an object, 0:00:20.754087, 0:00:00, 0:00:20.720721

VIRAT_S_010201_05_000499_000527
Event ID, Event Type, Event Duration, Event Start, Event End
0, 9: Person carrying an object, 0:00:15.615616, 0:00:05.505506, 0:00:21.087754
1, 9: Person carrying an object, 0:00:14.647981, 0:00:06.473140, 0:00:21.087754
2, 9: Person carrying an object, 0:00:02.335669, 0:00:18.785452, 0:00:21.087754
4, 11: Person entering a facility, 0:00:02.502503, 0:00:13.747080, 0:00:16.216216

VIRAT_S_010201_06_000550_000600
Event ID, Event Type, Event Duration, Event Start, Event End
11, 9: Person carrying an object, 0:00:11.745078, 0:00:00, 0:00:11.711712
12, 9: Person carrying an object, 0:00:17.450784, 0:00:16.816817, 0:00:34.234234
13, 9: Person carrying an object, 0:00:14.647981, 0:00:22.889556, 0:00:37.504171

VIRAT_S_010201_07_000601_000697
Event ID, Event Type, Event Duration, Event Start, Event End
16, 9: Person carrying an object, 0:00:19.586253, 0:00:30.030030, 0:00:49.582916
18, 9: Person carrying an object, 0:00:22.889556, 0:00:04.738071, 0:00:27.594261
19, 9: Person carrying an object, 0:00:13.713714, 0:00:26.226226, 0:00:39.906573
20, 9: Person carrying an object, 0:00:34.234234, 0:00:36.569903, 0:01:10.770771
21, 9: Person carrying an object, 0:00:37.170504, 0:00:36.503170, 0:01:13.640307
22, 9: Person carrying an object, 0:00:28.795462, 0:00:34.401068, 0:01:03.163163
23, 9: Person carrying an object, 0:00:35.902569, 0:00:37.771104, 0:01:13.640307
24, 7: Person gesturing, 0:00:06.272940, 0:01:04.064064, 0:01:10.303637
25, 9: Person carrying an object, 0:00:18.818819, 0:00:11.945279, 0:00:30.730731
26, 9: Person carrying an object, 0:00:03.603604, 0:01:10.070070, 0:01:13.640307

VIRAT_S_010201_08_000705_000739
Event ID, Event Type, Event Duration, Event Start, Event End
0, 9: Person carrying an object, 0:00:05.605606, 0:00:00, 0:00:05.572239
1, 9: Person carrying an object, 0:00:17.817818, 0:00:06.006006, 0:00:23.790457
2, 9: Person carrying an object, 0:00:07.474141, 0:00:16.349683, 0:00:23.790457

VIRAT_S_010201_09_000770_000801
Event ID, Event Type, Event Duration, Event Start, Event End
3, 9: Person carrying an object, 0:00:09.642976, 0:00:00, 0:00:09.609610
4, 9: Person carrying an object, 0:00:05.705706, 0:00:00, 0:00:05.672339
5, 9: Person carrying an object, 0:00:06.840174, 0:00:15.348682, 0:00:22.155489
6, 9: Person carrying an object, 0:00:23.356690, 0:00:00, 0:00:23.323323
7, 9: Person carrying an object, 0:00:23.356690, 0:00:00, 0:00:23.323323

VIRAT_S_010202_00_000001_000033
Event ID, Event Type, Event Duration, Event Start, Event End
3, 9: Person carrying an object, 0:00:18.084751, 0:00:00, 0:00:18.051385
4, 9: Person carrying an object, 0:00:07.240574, 0:00:03.503504, 0:00:10.710711
5, 9: Person carrying an object, 0:00:05.305305, 0:00:10.010010, 0:00:15.281949
6, 9: Person carrying an object, 0:00:08.074741, 0:00:10.010010, 0:00:18.051385

VIRAT_S_010202_01_000055_000147
Event ID, Event Type, Event Duration, Event Start, Event End
14, 7: Person gesturing, 0:00:02.102102, 0:00:13.346680, 0:00:15.415415
15, 7: Person gesturing, 0:00:01.634968, 0:00:20.320320, 0:00:21.921922
16, 9: Person carrying an object, 0:00:06.373040, 0:01:00.060060, 0:01:06.399733
17, 9: Person carrying an object, 0:00:27.260594, 0:00:00, 0:00:27.227227
18, 9: Person carrying an object, 0:00:10.744077, 0:00:00, 0:00:10.710711
19, 9: Person carrying an object, 0:00:20.253587, 0:00:06.573240, 0:00:26.793460
20, 9: Person carrying an object, 0:00:26.593260, 0:00:19.319319, 0:00:45.879213
21, 9: Person carrying an object, 0:00:25.091758, 0:00:15.682349, 0:00:40.740741
22, 9: Person carrying an object, 0:00:04.771438, 0:00:36.002669, 0:00:40.740741
23, 9: Person carrying an object, 0:00:20.754087, 0:00:40.040040, 0:01:00.760761
24, 9: Person carrying an object, 0:00:17.517518, 0:00:10.010010, 0:00:27.494161
25, 9: Person carrying an object, 0:00:12.245579, 0:00:40.040040, 0:00:52.252252

VIRAT_S_010202_02_000161_000189
Event ID, Event Type, Event Duration, Event Start, Event End
4, 9: Person carrying an object, 0:00:08.608609, 0:00:01.501502, 0:00:10.076743
5, 11: Person entering a facility, 0:00:03.036370, 0:00:08.241575, 0:00:11.244578
6, 9: Person carrying an object, 0:00:17.717718, 0:00:00, 0:00:17.684351

VIRAT_S_010202_03_000313_000355
Event ID, Event Type, Event Duration, Event Start, Event End
8, 9: Person carrying an object, 0:00:13.179847, 0:00:04.337671, 0:00:17.484151
9, 12: Person exiting a facility, 0:00:01.634968, 0:00:20.220220, 0:00:21.821822
10, 9: Person carrying an object, 0:00:16.583250, 0:00:03.903904, 0:00:20.453787
11, 9: Person carrying an object, 0:00:03.737070, 0:00:21.621622, 0:00:25.325325
12, 9: Person carrying an object, 0:00:10.844178, 0:00:14.514515, 0:00:25.325325

VIRAT_S_010202_06_000784_000873
Event ID, Event Type, Event Duration, Event Start, Event End
20, 12: Person exiting a facility, 0:00:05.505506, 0:00:14.180848, 0:00:19.652986
21, 9: Person carrying an object, 0:00:16.783450, 0:00:03.970637, 0:00:20.720721
22, 9: Person carrying an object, 0:00:07.841175, 0:00:12.912913, 0:00:20.720721
23, 9: Person carrying an object, 0:00:08.008008, 0:00:12.746079, 0:00:20.720721
24, 9: Person carrying an object, 0:00:16.383050, 0:00:04.137471, 0:00:20.487154
25, 9: Person carrying an object, 0:00:06.239573, 0:00:20.120120, 0:00:26.326326
26, 5: Person getting into a Vehicle, 0:00:02.135469, 0:00:25.759092, 0:00:27.861195
28, 9: Person carrying an object, 0:00:02.002002, 0:01:02.262262, 0:01:04.230898
29, 9: Person carrying an object, 0:00:06.806807, 0:00:57.457457, 0:01:04.230898
30, 9: Person carrying an object, 0:00:16.783450, 0:00:03.970637, 0:00:20.720721
31, 9: Person carrying an object, 0:00:26.326326, 0:00:20.020020, 0:00:46.312980
32, 9: Person carrying an object, 0:00:26.326326, 0:00:20.020020, 0:00:46.312980
33, 9: Person carrying an object, 0:00:40.373707, 0:00:20.020020, 0:01:00.360360
34, 9: Person carrying an object, 0:00:39.072406, 0:00:20.020020, 0:00:59.059059

VIRAT_S_010203_00_000047_000139
Event ID, Event Type, Event Duration, Event Start, Event End
36, 11: Person entering a facility, 0:00:02.936270, 0:00:37.203871, 0:00:40.106773
37, 9: Person carrying an object, 0:00:21.421421, 0:00:40.040040, 0:01:01.428095
38, 9: Person carrying an object, 0:00:30.764097, 0:00:30.030030, 0:01:00.760761
39, 9: Person carrying an object, 0:00:18.218218, 0:00:10.944278, 0:00:29.129129
40, 9: Person carrying an object, 0:00:14.147481, 0:00:55.321989, 0:01:09.436103
41, 9: Person carrying an object, 0:00:12.379046, 0:00:38.938939, 0:00:51.284618
42, 9: Person carrying an object, 0:00:24.424424, 0:00:45.045045, 0:01:09.436103
43, 9: Person carrying an object, 0:00:24.124124, 0:00:45.345345, 0:01:09.436103
44, 9: Person carrying an object, 0:00:21.354688, 0:00:45.445445, 0:01:06.766767
46, 9: Person carrying an object, 0:00:13.446780, 0:00:56.022689, 0:01:09.436103
47, 9: Person carrying an object, 0:00:21.421421, 0:00:40.040040, 0:01:01.428095
48, 9: Person carrying an object, 0:00:10.744077, 0:00:30.030030, 0:00:40.740741
49, 9: Person carrying an object, 0:00:10.744077, 0:00:30.030030, 0:00:40.740741
50, 9: Person carrying an object, 0:00:09.075742, 0:00:11.678345, 0:00:20.720721
51, 9: Person carrying an object, 0:00:09.075742, 0:00:11.678345, 0:00:20.720721
52, 9: Person carrying an object, 0:00:30.764097, 0:00:30.030030, 0:01:00.760761
53, 9: Person carrying an object, 0:00:30.764097, 0:00:30.030030, 0:01:00.760761
54, 9: Person carrying an object, 0:00:17.150484, 0:00:10.310310, 0:00:27.427427
55, 9: Person carrying an object, 0:00:17.150484, 0:00:10.310310, 0:00:27.427427
56, 9: Person carrying an object, 0:00:17.150484, 0:00:10.310310, 0:00:27.427427
57, 9: Person carrying an object, 0:00:18.218218, 0:00:10.944278, 0:00:29.129129
58, 9: Person carrying an object, 0:00:18.218218, 0:00:10.944278, 0:00:29.129129
59, 9: Person carrying an object, 0:00:18.218218, 0:00:10.944278, 0:00:29.129129
60, 9: Person carrying an object, 0:00:27.527528, 0:00:30.030030, 0:00:57.524191
61, 9: Person carrying an object, 0:00:27.527528, 0:00:30.030030, 0:00:57.524191
62, 9: Person carrying an object, 0:00:27.527528, 0:00:30.030030, 0:00:57.524191
63, 9: Person carrying an object, 0:00:27.527528, 0:00:30.030030, 0:00:57.524191

VIRAT_S_010203_02_000347_000397
Event ID, Event Type, Event Duration, Event Start, Event End
14, 11: Person entering a facility, 0:00:02.235569, 0:00:28.595262, 0:00:30.797464
15, 9: Person carrying an object, 0:00:15.515516, 0:00:17.083750, 0:00:32.565899
16, 9: Person carrying an object, 0:00:11.177845, 0:00:19.352686, 0:00:30.497164
17, 9: Person carrying an object, 0:00:15.415415, 0:00:11.511512, 0:00:26.893560
18, 9: Person carrying an object, 0:00:08.308308, 0:00:02.002002, 0:00:10.276944

VIRAT_S_010203_03_000400_000435
Event ID, Event Type, Event Duration, Event Start, Event End
1, 12: Person exiting a facility, 0:00:01.634968, 0:00:13.813814, 0:00:15.415415
2, 9: Person carrying an object, 0:00:02.569236, 0:00:20.020020, 0:00:22.555889
3, 9: Person carrying an object, 0:00:21.821822, 0:00:00.767434, 0:00:22.555889
4, 9: Person carrying an object, 0:00:06.606607, 0:00:14.147481, 0:00:20.720721
5, 9: Person carrying an object, 0:00:21.821822, 0:00:00.767434, 0:00:22.555889

VIRAT_S_010203_04_000457_000511
Event ID, Event Type, Event Duration, Event Start, Event End
20, 11: Person entering a facility, 0:00:01.801802, 0:00:29.362696, 0:00:31.131131
21, 9: Person carrying an object, 0:00:25.325325, 0:00:00, 0:00:25.291959
22, 9: Person carrying an object, 0:00:05.905906, 0:00:00.800801, 0:00:06.673340
23, 9: Person carrying an object, 0:00:23.223223, 0:00:00, 0:00:23.189857
24, 9: Person carrying an object, 0:00:10.744077, 0:00:00, 0:00:10.710711
25, 9: Person carrying an object, 0:00:24.290958, 0:00:17.384051, 0:00:41.641642
26, 9: Person carrying an object, 0:00:17.851185, 0:00:22.922923, 0:00:40.740741
27, 9: Person carrying an object, 0:00:10.877544, 0:00:30.797464, 0:00:41.641642
28, 9: Person carrying an object, 0:00:05.905906, 0:00:35.468802, 0:00:41.341341
29, 9: Person carrying an object, 0:00:01.634968, 0:00:40.040040, 0:00:41.641642

VIRAT_S_010203_05_000515_000593
Event ID, Event Type, Event Duration, Event Start, Event End
8, 9: Person carrying an object, 0:00:21.955289, 0:00:03.470137, 0:00:25.392059
9, 9: Person carrying an object, 0:00:24.924925, 0:00:20.020020, 0:00:44.911578
10, 9: Person carrying an object, 0:00:38.138138, 0:00:09.042376, 0:00:47.147147
11, 9: Person carrying an object, 0:00:24.290958, 0:00:32.932933, 0:00:57.190524
12, 9: Person carrying an object, 0:00:08.842176, 0:00:33.800467, 0:00:42.609276
13, 9: Person carrying an object, 0:00:11.478145, 0:00:09.275943, 0:00:20.720721

VIRAT_S_010203_06_000620_000760
Event ID, Event Type, Event Duration, Event Start, Event End
29, 12: Person exiting a facility, 0:00:01.768435, 0:01:22.649316, 0:01:24.384384
30, 11: Person entering a facility, 0:00:01.801802, 0:01:41.601602, 0:01:43.370037
31, 9: Person carrying an object, 0:00:07.374041, 0:00:01.935269, 0:00:09.275943
32, 9: Person carrying an object, 0:01:37.364031, 0:00:10.010010, 0:01:47.340674
33, 9: Person carrying an object, 0:00:36.069403, 0:00:23.289957, 0:00:59.325993
34, 9: Person carrying an object, 0:00:26.926927, 0:00:23.857191, 0:00:50.750751
35, 11: Person entering a facility, 0:00:02.569236, 0:00:11.244578, 0:00:13.780447
36, 9: Person carrying an object, 0:00:17.350684, 0:00:12.679346, 0:00:29.996663
37, 9: Person carrying an object, 0:00:16.649983, 0:00:34.734735, 0:00:51.351351
38, 9: Person carrying an object, 0:00:13.179847, 0:00:47.747748, 0:01:00.894228
39, 9: Person carrying an object, 0:00:19.919920, 0:01:15.475475, 0:01:35.362029
40, 9: Person carrying an object, 0:00:07.040374, 0:01:40.333667, 0:01:47.340674
41, 9: Person carrying an object, 0:00:40.373707, 0:00:58.525192, 0:01:38.865532
42, 9: Person carrying an object, 0:00:40.140140, 0:00:58.525192, 0:01:38.631965
43, 9: Person carrying an object, 0:00:06.973640, 0:01:24.351018, 0:01:31.291291
44, 9: Person carrying an object, 0:00:07.307307, 0:01:34.394394, 0:01:41.668335
45, 9: Person carrying an object, 0:00:02.502503, 0:01:44.871538, 0:01:47.340674
46, 9: Person carrying an object, 0:00:10.744077, 0:00:00, 0:00:10.710711

VIRAT_S_010203_07_000775_000869
Event ID, Event Type, Event Duration, Event Start, Event End
12, 12: Person exiting a facility, 0:00:04.504505, 0:00:18.551885, 0:00:23.023023
13, 9: Person carrying an object, 0:00:16.349683, 0:00:00, 0:00:16.316316
14, 9: Person carrying an object, 0:00:29.629630, 0:00:39.773106, 0:01:09.369369
15, 9: Person carrying an object, 0:00:22.789456, 0:00:46.613280, 0:01:09.369369
16, 9: Person carrying an object, 0:00:21.988655, 0:00:47.414081, 0:01:09.369369
17, 9: Person carrying an object, 0:00:16.750083, 0:00:52.652653, 0:01:09.369369
18, 9: Person carrying an object, 0:00:22.055389, 0:00:40.040040, 0:01:02.062062
19, 9: Person carrying an object, 0:00:25.358692, 0:00:44.044044, 0:01:09.369369
20, 9: Person carrying an object, 0:00:25.759092, 0:00:43.643644, 0:01:09.369369
21, 9: Person carrying an object, 0:00:24.190858, 0:00:45.211879, 0:01:09.369369
22, 12: Person exiting a facility, 0:00:04.504505, 0:00:18.551885, 0:00:23.023023
23, 12: Person exiting a facility, 0:00:04.504505, 0:00:18.551885, 0:00:23.023023
24, 9: Person carrying an object, 0:00:22.055389, 0:00:40.040040, 0:01:02.062062

VIRAT_S_010203_08_000895_000975
Event ID, Event Type, Event Duration, Event Start, Event End
4, 7: Person gesturing, 0:00:01.034368, 0:00:36.436436, 0:00:37.437437
5, 9: Person carrying an object, 0:00:31.197865, 0:00:00, 0:00:31.164498
6, 9: Person carrying an object, 0:00:05.672339, 0:00:03.737070, 0:00:09.376043
7, 9: Person carrying an object, 0:00:07.474141, 0:00:04.938272, 0:00:12.379046
8, 9: Person carrying an object, 0:00:17.384051, 0:00:23.390057, 0:00:40.740741
9, 9: Person carrying an object, 0:00:30.463797, 0:00:30.330330, 0:01:00.760761
10, 9: Person carrying an object, 0:00:25.892559, 0:00:36.536537, 0:01:02.395729
11, 9: Person carrying an object, 0:00:11.811812, 0:00:50.617284, 0:01:02.395729
12, 9: Person carrying an object, 0:00:00.600601, 0:01:01.828495, 0:01:02.395729
13, 9: Person carrying an object, 0:00:19.219219, 0:00:20.453787, 0:00:39.639640
14, 9: Person carrying an object, 0:00:20.086753, 0:00:18.952286, 0:00:39.005672
15, 9: Person carrying an object, 0:00:22.489156, 0:00:17.050384, 0:00:39.506173
16, 9: Person carrying an object, 0:00:22.122122, 0:00:17.584251, 0:00:39.673006
17, 9: Person carrying an object, 0:00:23.089756, 0:00:17.684351, 0:00:40.740741
18, 9: Person carrying an object, 0:00:04.738071, 0:00:26.026026, 0:00:30.730731
19, 9: Person carrying an object, 0:00:11.378045, 0:00:49.749750, 0:01:01.094428
20, 9: Person carrying an object, 0:00:20.754087, 0:00:40.040040, 0:01:00.760761
21, 9: Person carrying an object, 0:00:10.143477, 0:00:30.296964, 0:00:40.407074

VIRAT_S_010203_10_001092_001121
Event ID, Event Type, Event Duration, Event Start, Event End
7, 7: Person gesturing, 0:00:00.934268, 0:00:04.904905, 0:00:05.805806
8, 9: Person carrying an object, 0:00:18.618619, 0:00:00.567234, 0:00:19.152486
9, 9: Person carrying an object, 0:00:20.053387, 0:00:00.667334, 0:00:20.687354
10, 9: Person carrying an object, 0:00:10.710711, 0:00:10.010010, 0:00:20.687354
11, 9: Person carrying an object, 0:00:13.279947, 0:00:07.440774, 0:00:20.687354
12, 9: Person carrying an object, 0:00:10.744077, 0:00:00, 0:00:10.710711

VIRAT_S_010204_00_000030_000059
Event ID, Event Type, Event Duration, Event Start, Event End
1, 9: Person carrying an object, 0:00:11.845179, 0:00:10.343677, 0:00:22.155489
2, 9: Person carrying an object, 0:00:05.939273, 0:00:08.208208, 0:00:14.114114
3, 9: Person carrying an object, 0:00:03.870537, 0:00:11.811812, 0:00:15.648982

VIRAT_S_010204_01_000072_000225
Event ID, Event Type, Event Duration, Event Start, Event End
26, 11: Person entering a facility, 0:00:02.268936, 0:00:37.937938, 0:00:40.173507
27, 9: Person carrying an object, 0:00:41.675008, 0:00:11.978645, 0:00:53.620287
28, 9: Person carrying an object, 0:00:06.506507, 0:00:16.349683, 0:00:22.822823
29, 9: Person carrying an object, 0:00:24.090757, 0:00:34.901568, 0:00:58.958959
30, 9: Person carrying an object, 0:00:19.719720, 0:00:35.301969, 0:00:54.988322
31, 9: Person carrying an object, 0:00:34.601268, 0:00:40.106773, 0:01:14.674675
32, 9: Person carrying an object, 0:00:35.235235, 0:00:40.140140, 0:01:15.342009
33, 9: Person carrying an object, 0:00:39.005672, 0:00:41.341341, 0:01:20.313647
34, 9: Person carrying an object, 0:00:18.852186, 0:00:35.969303, 0:00:54.788121
35, 9: Person carrying an object, 0:00:23.757090, 0:01:07.467467, 0:01:31.191191
36, 9: Person carrying an object, 0:00:08.875542, 0:01:52.712713, 0:02:01.554888
37, 11: Person entering a facility, 0:00:03.103103, 0:00:08.108108, 0:00:11.177845
38, 11: Person entering a facility, 0:00:01.868535, 0:01:36.763430, 0:01:38.598599

VIRAT_S_010204_03_000606_000632
Event ID, Event Type, Event Duration, Event Start, Event End
4, 9: Person carrying an object, 0:00:02.335669, 0:00:00, 0:00:02.302302
5, 9: Person carrying an object, 0:00:07.173841, 0:00:06.172840, 0:00:13.313313
6, 9: Person carrying an object, 0:00:01.334668, 0:00:12.012012, 0:00:13.313313

VIRAT_S_010204_04_000646_000754
Event ID, Event Type, Event Duration, Event Start, Event End
5, 11: Person entering a facility, 0:00:02.669336, 0:00:16.583250, 0:00:19.219219
6, 10: Person running, 0:00:04.337671, 0:00:22.255589, 0:00:26.559893
7, 10: Person running, 0:00:03.703704, 0:00:22.255589, 0:00:25.925926
8, 10: Person running, 0:00:02.635969, 0:00:23.590257, 0:00:26.192860
9, 9: Person carrying an object, 0:00:14.347681, 0:00:00, 0:00:14.314314
10, 9: Person carrying an object, 0:00:16.416416, 0:00:10.010010, 0:00:26.393060
11, 9: Person carrying an object, 0:00:36.770103, 0:00:49.115782, 0:01:25.852519
12, 9: Person carrying an object, 0:00:16.549883, 0:00:53.319987, 0:01:09.836503

VIRAT_S_010204_05_000856_000890
Event ID, Event Type, Event Duration, Event Start, Event End
34, 7: Person gesturing, 0:00:01.568235, 0:00:00, 0:00:01.534868
35, 7: Person gesturing, 0:00:02.969636, 0:00:00.767434, 0:00:03.703704
36, 9: Person carrying an object, 0:00:19.486153, 0:00:00, 0:00:19.452786
37, 9: Person carrying an object, 0:00:19.486153, 0:00:00, 0:00:19.452786
38, 9: Person carrying an object, 0:00:02.602603, 0:00:00, 0:00:02.569236
39, 9: Person carrying an object, 0:00:10.744077, 0:00:00, 0:00:10.710711
40, 9: Person carrying an object, 0:00:09.709710, 0:00:01.034368, 0:00:10.710711
41, 9: Person carrying an object, 0:00:09.476143, 0:00:10.010010, 0:00:19.452786
42, 9: Person carrying an object, 0:00:09.476143, 0:00:10.010010, 0:00:19.452786

VIRAT_S_010204_06_000913_000939
Event ID, Event Type, Event Duration, Event Start, Event End
13, 11: Person entering a facility, 0:00:02.168836, 0:00:08.875542, 0:00:11.011011
