Video Name, Event ID, Event Type, Event Duration (f), Event Start (f)
VIRAT_S_000201_07_001485_001581, 2, 4: Person Closing a Vehicle/Car Trunk, 60, 1732
VIRAT_S_000201_08_001652_001838, 0, 6: Person getting out of a Vehicle, 184, 551
VIRAT_S_000201_08_001652_001838, 1, 6: Person getting out of a Vehicle, 471, 3174
VIRAT_S_000201_08_001652_001838, 2, 6: Person getting out of a Vehicle, 177, 5193
VIRAT_S_000201_08_001652_001838, 3, 2: Person Unloading an Object from a Car/Vehicle, 109, 3708
VIRAT_S_000202_00_000000_000977, 0, 6: Person getting out of a Vehicle, 83, 237
VIRAT_S_000202_00_000000_000977, 1, 3: Person Opening a Vehicle/Car Trunk, 69, 446
VIRAT_S_000202_00_000000_000977, 2, 4: Person Closing a Vehicle/Car Trunk, 60, 631
VIRAT_S_000202_00_000000_000977, 3, 6: Person getting out of a Vehicle, 170, 1779
VIRAT_S_000202_00_000000_000977, 5, 6: Person getting out of a Vehicle, 136, 4154
VIRAT_S_000202_00_000000_000977, 6, 6: Person getting out of a Vehicle, 165, 4681
VIRAT_S_000202_00_000000_000977, 7, 3: Person Opening a Vehicle/Car Trunk, 60, 4935
VIRAT_S_000202_00_000000_000977, 8, 4: Person Closing a Vehicle/Car Trunk, 60, 5138
VIRAT_S_000202_00_000000_000977, 9, 6: Person getting out of a Vehicle, 167, 10400
VIRAT_S_000202_00_000000_000977, 10, 6: Person getting out of a Vehicle, 209, 13691
VIRAT_S_000202_00_000000_000977, 11, 6: Person getting out of a Vehicle, 221, 13671
VIRAT_S_000202_00_000000_000977, 12, 6: Person getting out of a Vehicle, 264, 14658
VIRAT_S_000202_00_000000_000977, 13, 3: Person Opening a Vehicle/Car Trunk, 60, 15890
VIRAT_S_000202_00_000000_000977, 14, 4: Person Closing a Vehicle/Car Trunk, 60, 16288
VIRAT_S_000202_00_000000_000977, 15, 6: Person getting out of a Vehicle, 139, 15091
VIRAT_S_000202_00_000000_000977, 16, 6: Person getting out of a Vehicle, 131, 23191
VIRAT_S_000202_00_000000_000977, 17, 6: Person getting out of a Vehicle, 151, 25552
VIRAT_S_000202_00_000000_000977, 18, 3: Person Opening a Vehicle/Car Trunk, 79, 25860
VIRAT_S_000202_00_000000_000977, 19, 4: Person Closing a Vehicle/Car Trunk, 60, 26070
VIRAT_S_000203_03_000736_000785, 0, 6: Person getting out of a Vehicle, 100, 560
VIRAT_S_000203_03_000736_000785, 1, 6: Person getting out of a Vehicle, 137, 673
VIRAT_S_000203_04_000903_001086, 1, 5: Person getting into a Vehicle, 165, 549
VIRAT_S_000203_04_000903_001086, 2, 5: Person getting into a Vehicle, 145, 677
VIRAT_S_000203_06_001206_001266, 0, 6: Person getting out of a Vehicle, 115, 629
VIRAT_S_000203_07_001341_001458, 0, 6: Person getting out of a Vehicle, 117, 1180
VIRAT_S_000203_07_001341_001458, 1, 3: Person Opening a Vehicle/Car Trunk, 80, 1332
VIRAT_S_000203_07_001341_001458, 2, 4: Person Closing a Vehicle/Car Trunk, 60, 1732
VIRAT_S_000203_08_001702_001734, 0, 5: Person getting into a Vehicle, 94, 536
VIRAT_S_000205_00_000065_000149, 0, 5: Person getting into a Vehicle, 94, 2168
VIRAT_S_000205_01_000197_000342, 0, 5: Person getting into a Vehicle, 109, 2443
VIRAT_S_000205_01_000197_000342, 1, 5: Person getting into a Vehicle, 91, 2531
VIRAT_S_000205_01_000197_000342, 2, 5: Person getting into a Vehicle, 194, 3939
VIRAT_S_000205_02_000409_000566, 0, 5: Person getting into a Vehicle, 108, 4334
VIRAT_S_000205_04_000927_001057, 3, 5: Person getting into a Vehicle, 129, 3456
VIRAT_S_000205_04_000927_001057, 4, 5: Person getting into a Vehicle, 312, 1538
VIRAT_S_000205_04_000927_001057, 5, 6: Person getting out of a Vehicle, 60, 2451
VIRAT_S_000205_04_000927_001057, 6, 5: Person getting into a Vehicle, 147, 3210
VIRAT_S_000206_07_001501_001600, 9, 3: Person Opening a Vehicle/Car Trunk, 60, 1688
VIRAT_S_000206_07_001501_001600, 10, 1: Person loading an Object to a Vehicle, 74, 1739
VIRAT_S_000206_07_001501_001600, 11, 4: Person Closing a Vehicle/Car Trunk, 60, 1820
VIRAT_S_000206_08_001618_001712, 0, 5: Person getting into a Vehicle, 145, 2425
VIRAT_S_000206_08_001618_001712, 1, 6: Person getting out of a Vehicle, 177, 496
VIRAT_S_000206_09_001714_001851, 0, 5: Person getting into a Vehicle, 156, 555
VIRAT_S_000206_09_001714_001851, 1, 6: Person getting out of a Vehicle, 167, 2836
VIRAT_S_000207_00_000000_000045, 0, 6: Person getting out of a Vehicle, 91, 307
VIRAT_S_000207_00_000000_000045, 1, 5: Person getting into a Vehicle, 60, 520
VIRAT_S_000207_01_000094_000156, 0, 6: Person getting out of a Vehicle, 217, 581
VIRAT_S_000207_02_000498_000530, 0, 5: Person getting into a Vehicle, 60, 596
VIRAT_S_000207_03_000556_000590, 0, 5: Person getting into a Vehicle, 71, 634
VIRAT_S_000207_04_000902_000934, 0, 5: Person getting into a Vehicle, 129, 594
