Video Name                      ,Frame Rate (f/s) ,Duration (ms) ,Duration          ,Frames (f)
VIRAT_S_010204_03_000606_000632 ,          23.976 ,        16688 ,16 s 688 ms       ,       400
VIRAT_S_010204_04_000646_000754 ,          23.976 ,       107385 ,1 min 47 s 385 ms ,      2574
VIRAT_S_010204_05_000856_000890 ,          23.976 ,        24364 ,24 s 364 ms       ,       584
VIRAT_S_010204_06_000913_000939 ,          23.976 ,        21194 ,21 s 194 ms       ,       508
VIRAT_S_010204_07_000942_000989 ,          23.976 ,        39925 ,39 s 925 ms       ,       957
VIRAT_S_010204_09_001285_001336 ,          23.976 ,        42721 ,42 s 721 ms       ,      1024
VIRAT_S_010204_10_001372_001395 ,          23.976 ,        18315 ,18 s 315 ms       ,       439
VIRAT_S_010204_11_001524_001607 ,          23.976 ,        63914 ,1 min 3 s 914 ms  ,      1532
VIRAT_S_010205_01_000207_000288 ,          23.976 ,        79433 ,1 min 19 s 433 ms ,      1904
VIRAT_S_010205_02_000301_000345 ,          23.976 ,        42554 ,42 s 554 ms       ,      1020
VIRAT_S_010205_03_000370_000395 ,          23.976 ,        19567 ,19 s 567 ms       ,       469
VIRAT_S_010205_04_000545_000576 ,          23.976 ,        23238 ,23 s 238 ms       ,       557
VIRAT_S_010205_06_000830_000904 ,          23.976 ,        69629 ,1 min 9 s 629 ms  ,      1669
VIRAT_S_010206_00_000007_000035 ,          23.976 ,        24573 ,24 s 573 ms       ,       589
VIRAT_S_010206_01_000124_000206 ,          23.976 ,        80852 ,1 min 20 s 852 ms ,      1938
VIRAT_S_010206_02_000414_000439 ,          23.976 ,        21819 ,21 s 819 ms       ,       523
VIRAT_S_010206_03_000546_000580 ,          23.976 ,        27243 ,27 s 243 ms       ,       653
VIRAT_S_010206_04_000720_000767 ,          23.976 ,        36922 ,36 s 922 ms       ,       885
VIRAT_S_010206_05_000797_000823 ,          23.976 ,        19942 ,19 s 942 ms       ,       478
VIRAT_S_010207_01_000712_000752 ,          23.976 ,        32374 ,32 s 374 ms       ,       776
VIRAT_S_010207_02_000790_000816 ,          23.976 ,        23363 ,23 s 363 ms       ,       560
VIRAT_S_010207_03_000865_000911 ,          23.976 ,        45349 ,45 s 349 ms       ,      1087
VIRAT_S_010207_04_000929_000954 ,          23.976 ,        15353 ,15 s 353 ms       ,       368
VIRAT_S_010207_05_001013_001038 ,          23.976 ,        15895 ,15 s 895 ms       ,       381
VIRAT_S_010207_06_001064_001097 ,          23.976 ,        22779 ,22 s 779 ms       ,       546
VIRAT_S_010207_07_001195_001260 ,          23.976 ,        60618 ,1 min 0 s 618 ms  ,      1453
VIRAT_S_010207_08_001308_001332 ,          23.976 ,        17898 ,17 s 898 ms       ,       429
VIRAT_S_010207_09_001484_001510 ,          23.976 ,        18565 ,18 s 565 ms       ,       445
VIRAT_S_010207_10_001549_001596 ,          23.976 ,        42011 ,42 s 11 ms        ,      1007
VIRAT_S_010208_00_000000_000049 ,          23.976 ,        49020 ,49 s 20 ms        ,      1175
VIRAT_S_010208_02_000150_000180 ,          23.976 ,        23572 ,23 s 572 ms       ,       565
VIRAT_S_010208_03_000201_000232 ,          23.976 ,        23446 ,23 s 446 ms       ,       562
VIRAT_S_010208_05_000591_000631 ,          23.976 ,        36546 ,36 s 546 ms       ,       876
VIRAT_S_010208_06_000671_000744 ,          23.976 ,        66083 ,1 min 6 s 83 ms   ,      1584
VIRAT_S_010208_07_000768_000791 ,          23.976 ,        19233 ,19 s 233 ms       ,       461
VIRAT_S_010208_08_000807_000831 ,          23.976 ,        17522 ,17 s 522 ms       ,       420
VIRAT_S_010208_09_000857_000886 ,          23.976 ,        20359 ,20 s 359 ms       ,       488
VIRAT_S_010208_10_000904_000991 ,          23.976 ,        83647 ,1 min 23 s 647 ms ,      2005
